■ 역대 박스오피스 (통합전산망 집계 기준),,,,,,,,,
- 조회일: 2026-06-02,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,
▶ 검색조건 [    영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
173,가디언즈 오브 갤럭시: Volume 3,2023-05-03,"44,358,441,834","4,209,250","1,819","153,745",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
174,말아톤,2005-01-27,"26,272,557,000","4,194,959",238,"59,375",한국,한국,(주)쇼박스
175,어메이징 스파이더맨 2,2014-04-23,"34,869,101,800","4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
176,용의자,2013-12-24,"30,037,521,000","4,131,338",807,"69,124",한국,한국,(주)쇼박스
177,건축학개론,2012-03-22,"30,252,336,900","4,114,968",593,"106,870",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
178,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000","4,111,753",771,"75,393",미국,미국,씨제이엔터테인먼트
179,미이라 3:황제의 무덤,2008-07-30,"26,217,311,000","4,090,885",634,"64,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
180,댄싱퀸,2012-01-18,"30,131,375,500","4,058,325",544,"80,988",한국,한국,(주)씨제이이엔엠
181,7급 공무원,2009-04-22,"26,380,710,000","4,039,891",475,"90,779",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
182,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,"40,430,706,769","4,022,291","2,437","137,978",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
183,우리 생애 최고의 순간,2008-01-10,"26,119,898,000","4,018,872",418,"70,724",한국,한국,(주)싸이더스
184,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314","117,419",한국,한국,(주)쇼박스
185,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
186,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095","4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주)
187,쿵푸팬더3,2016-01-28,"31,340,813,156","3,984,814","1,365","97,405",미국,미국,(주)씨제이이엔엠
188,너의 이름은.,2017-01-04,"32,693,376,297","3,979,592",947,"95,260",일본,일본,메가박스중앙(주) 플러스엠 엔터테인먼트
189,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,728,426,385","3,964,965","1,106","110,158",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)"
190,매드 맥스: 분노의 도로,2015-05-14,"34,094,583,006","3,950,169",799,"106,787",미국,"미국,호주",워너브러더스 코리아(주)
191,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아
